show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform,imdb_rating
s1894,Movie,Learn Colors With Finger Family And More,HooplaKidz,,,,2019,ALL,30 min,Kids,"Colors are so much fun, Learn as you sing your favorite Finger Family Songs Collection along with the awesome nursery rhymes children love.",amazon,
s1895,Movie,Learn Colors and Race Cars with Max the Glow Train and His Friends (Colors and Toys),,,,,2016,ALL,10 min,Kids,"Max is a fun loving toy train who teaches children colors. After Max and Bill find a box with race cars, they paint them and start the race. Their room is too small so they cannot race. Pete the Pete the Truck comes along and helps them set up a real race!",amazon,
s1896,Movie,"Learn Colors & Play with Paint with Max the Glow Train, Jake the Fire Truck and Friends",,,,,2016,ALL,9 min,Kids,Max and his friends meet a new toy - Jake the Fire Truck! Next they go to Play & Paint activity center. At the activity center the toys learn different colors while having fun playing with paint! Your child will see different colors repeated many times!,amazon,
s1897,TV Show,Le Mans: Racing is Everything,,,,,2017,16+,1 Season,"Documentary, Sports","The 24 Hours of Le Mans is a motor race like no other. Taking place in France each year, it is an endurance test for drivers and cars that literally takes 24 hours to complete. Traveling from Kuala Lumpur to the Côte D’Azur, shot in breathtaking 4K and with unprecedented access to six of the teams competing for glory, Le Mans: Racing is Everything is motorsport as you’ve never seen it before.",amazon,7.3
s1898,Movie,LAW,Raghu Samarth,"Ragini Prajwal, Mukhyamantri Chandru, Sudharani, Achyuth Kumar, Avinash, Rajesh Nataranga, Krishna Hebbale, Mandya Ramesh, Nagaraj Murthy, Siri Prahlad, Madhu Hegde, Likhitesh, Imran Pasha",India,,2020,16+,120 min,Suspense,"There are umpteen stories that involve crime and investigations. Sometimes, the case even gets dismissed due to lack of evidence and the accused are set free. However ‘Law’ is a paradigm shift from the rest in this genre. Nandhini, a law student who is caught in a precarious situation fights for justice for a gruesome crime that took place.",amazon,5.6
s1899,Movie,Late Bloomers,Julia Dyer,"Connie Nelson, Dee Hennigan, Gary Carter",,,1996,18+,107 min,"Comedy, LGBTQ","High School basketball coach, Dinah Groshardt, falls for the school secretary, Carly Lumpkin, and upsets the entire school in the process.",amazon,5.9
s1900,Movie,Last Rampage,Dwight Little,"Robert Patrick, Heather Graham, Bruce Davison, Molly Quinn, Chris Browning",,,2017,R,92 min,"Action, Adventure, Suspense",The true crime thriller of Gary Tison and Randy Greenawalt's escape from prison and the murderous rampage that followed.,amazon,5.7
s1901,TV Show,Lano & Woodley: Fly,,"Colin Lane, Frank Woodley",,,2020,16+,1 Season,"Comedy, Talk Show and Variety","Australia’s favourite double act Colin Lane and Frank Woodley have reunited to create the comeback masterpiece FLY. No more stupid silly nonsense, it’s time to make THEATRE! An epic show about the history of aviation, no less. There is no reason whatsoever to think this will go as planned.",amazon,6.5
s1902,Movie,LANDLINE,Gillian Robespierre,"Jenny Slate, Edie Falco, Jay Duplass, Abby Quinn, John Turturro",,,2017,R,97 min,Comedy,"When two sisters suspect their father is having an affair, it reveals cracks in the family façade. Older sister Dana, engaged and struggling with her own fidelity, finds herself bonding with her wild teenage sister Ali. The two try to uncover the truth without tipping off their mother and discover the reality of love in the process.",amazon,6.4
s1903,TV Show,Land of the Lustrous,,,,,2017,TV-14,1 Season,"Action, Adventure, Anime","Phos, the youngest Houseki, must create an encyclopedia of natural history in a risky world where Moon Dwellers hunt their kind.",amazon,8.0
s1904,Movie,Lake Effects,Michael McKay,"Scottie Thompson, Jane Seymour, Madeline Zima",,,2020,13+,96 min,Drama,"After the loss of their father, two estranged sisters reunite with their mother at their enchanting family lake house and find that the secret to overcoming tragedy and rebuilding hope lies in their ability to look deeper at themselves.",amazon,
s1905,Movie,Ladybugs,Sidney Furie,"Rodney Dangerfield, Jonathan Brandis, Jackee Harry, Ilene Graff, Vinessa Shaw, Tom Parks, Jeanetta Arnette, Blake Clark",,,1992,PG-13,90 min,"Comedy, Sports","Chester Lee, a salesman gunning for a promotion, tries to butter up his boss by agreeing to coach his daughter's soccer team. One problem: the team is terrible, and it doesn't look as if they're going to have a winning season.",amazon,5.5
s1906,TV Show,Ladyboys: Inside Thailand's Third Gender,,,,,2014,18+,1 Season,"Documentary, International","The lure of Thailand's Ladyboys is so strong that many men will leave behind everything and everyone they know to be with them. This fascinating series follows two expats, Scott and David, and their ladyboy loves. Scott moves to Thailand to join his fiancé, Paeng, after a three year long-distance relationship. David introduces his ladyboy girlfriend, Annie, to his son and insists he is straight.",amazon,6.7
s1907,Movie,Lady Valor: The Kristin Beck Story,"Mark Herzog, Sandrine Orabona",Kristin Beck,,,2014,16+,84 min,"Documentary, Special Interest","Former U.S. Navy SEAL Christopher Beck finds himself once again in the line of fire as he embraces his new life as the transgender woman, Kristin Beck. After coming out on CNN's Anderson Cooper 360, Kristin has learned that her fight for life, liberty, and the pursuit of happiness did not end on the battlefield.",amazon,7.3
s1908,Movie,Lady in the Death House,Steve Sekely,"Jean Parker, Lionel Atwill, Douglas Fowley, Marica Mae Jones, George Irving, Forrest Taylor",,,1944,18+,59 min,"Drama, Suspense","Framed for murder, Mary Kirk Logan is on death row for killing a man who was blackmailing her family. Mary's boyfriend Dr. Dwight Bradford (Fowley), a scientist, is also the state executioner who must put his lover to death. Famous criminologist Charles Finch (Atwill) takes up the case and feverishly works to find the real killer before Mary is executed. A tense crime drama with a nail-biting end scene where Finch desperately attempts to reach the governor for a stay of execution just minutes before the switch must be thrown.",amazon,5.3
s1909,Movie,Lady Behave!,Lloyd Corrigan,"Sally Eilers, Neil Hamilton, Joseph Schildkraut, Grant Mitchell, Patricia Farr, Marcia Mae Jones",,,1937,13+,59 min,Comedy,"Millionaire Stephens Cormack (Hamilton) gets drunk at a party, and ends up marrying fellow partygoer Clairice Andrews (Farr). When Stephens sobers up, he hastily arranges for an annulment through his lawyer and high tails it out of the country to South America, not know that he had committed bigomy with the already married Clairice. Paula (Eilers), Clairice's sister, poses as her sister to minimize the trouble she will be in with her husband, and temporarily moves into Stephen's mansion until the annulment is finalized. However, Paula has to endure Stephen's two spoiled and bratty children, and mistreatment by the snobby servants.",amazon,6.2
s1910,Movie,Ladies in Lavender,Charles Dance,"Daniel Bruhl, Judi Dench, Maggie Smith",,,2004,PG-13,104 min,"Comedy, Drama, Romance","Aging spinster sisters Ursula (Judi Dench) and Janet (Maggie Smith) discover a young man (Daniel Brühl) near death on the beach by their home in a small Cornish fishing village. Taking him in, they discover that he is Andrea, a violinist from Krakow, Poland, who had been swept off an ocean liner on which he was sailing to a fresh start in America.",amazon,7.0
s1911,TV Show,Labyrinth,,"John Hurt, Tom Felton, Vanessa Kirby, Jessica Brown Findlay",,,2014,TV-14,1 Season,Science Fiction,"Dangerous passions are unleashed in this hot-blooded adventure that begins in medieval France, as a 17-year-old girl named Alais receives a mysterious book from her father. Eight hundred years later, in the same town, a young woman named Alice unearths a labyrinth-engraved ring-and is swept into an epic journey that will crisscross centuries and reveal a destiny beyond her wildest imaginings...",amazon,7.4
s1912,Movie,Laal Kaptaan,Navdeep Singh,"Saif Ali Khan, Manav Vij, Deepak Dobriyal, Zoya Hussain, Simone Singh",,,2019,18+,153 min,"Action, International","In late 18th century Bundelkhand, a bounty hunter wanders in search of a man he has sought for 20 long years. A mysterious young woman obstinately attaches herself to him. Meanwhile, a convoy led by a devious leader makes an arduous journey to the Yamuna, as a prophecy hangs over his infant heir. Somewhere, a ‘junglee’ tracker pieces together a trail as he follows a scent.",amazon,7.3
s1913,TV Show,Laakhon Mein Ek (Telugu),,"Shweta Tripathi Sharma, Sandeep Mehta, Suyash Joshi, Arun Nalawade, Rupesh Tillu",,,2019,TV-NR,2 Seasons,"Comedy, Drama","Dr Shreya is posted in Sitlapur village to conduct a cataract camp. But the villagers aren't the biggest believers in Government healthcare, the supplies aren't separate from the politics, and the staff isn't the dream team one would desire. Dr Shreya keeps fighting the system, but the question remains whether she will change the system or will the system change her?",amazon,
s1914,TV Show,Laakhon Mein Ek (Tamil),,"Shweta Tripathi Sharma, Sandeep Mehta, Suyash Joshi, Arun Nalawade, Rupesh Tillu",,,2019,TV-NR,2 Seasons,"Comedy, Drama","Dr Shreya is posted in Sitlapur village to conduct a cataract camp. But the villagers aren't the biggest believers in Government healthcare, the supplies aren't separate from the politics, and the staff isn't the dream team one would desire. Dr Shreya keeps fighting the system, but the question remains whether she will change the system or will the system change her?",amazon,
s1915,TV Show,Laakhon Mein Ek,,"Shweta Tripathi Sharma, Sandeep Mehta, Suyash Joshi, Arun Nalawade, Rupesh Tillu",,,2019,TV-NR,2 Seasons,TV Shows,"Dr Shreya is posted in Sitlapur village to conduct a cataract camp. But the villagers aren't the biggest believers in Government healthcare, the supplies aren't separate from the politics, and the staff isn't the dream team one would desire. Dr Shreya keeps fighting the system, but the question remains whether she will change the system or will the system change her?",amazon,8.2
s1916,TV Show,La Usurpadora,,"Sandra Echeverría, Arap Bethke, Andrés Palacios, Daniela Schmidt, Aurora Gil, Juan Carlos Barreto, Ana Bertha Espín, Queta Lavat, Germán Bracco, Macarena Oz, Monserrath Marañón, Verónica Terán, Emilio Guerrero, Josh Gutiérrez",,,2019,16+,1 Season,TV Shows,"After she finds out about the existence of her identical twin, Paola Miranda forces Paulina Doria to assume her identity, with the sole purpose of killing her and in this way, faking her own death, start a new life together with her lover.",amazon,7.5
