show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform,imdb_rating
s3194,Movie,Auschwitz: The Great Escape,Alex Dunlop,Sean Pertwee,,,2007,13+,46 min,Documentary,Escape from Auschwitz uncovers the true story of the spectacular escape from the camp in 1944 by two young Slovak jews -Rudolf Vrba and Alfred Wetzler. The Nazi's extermination plan relied on the truth about the camp's purpose being kept secret from the outside world.,amazon,"7,8"
s3195,Movie,Au Revoir Simone,,,,,2011,NR,31 min,Music Videos and Concerts,"Au Revoir Simone bring the rich, therapeutic, synthetic driven songcraft of The Bird of Music to Webster Hall for a haunting, hometown performance.",amazon,
s3196,Movie,Attack! The Battle Of New Britain,US Office Of War,,,,1944,NR,59 min,Special Interest,"Documentary film depicting the attack by Allied forces on the Japanese strong-holds of Arawe Beach and Cape Gloucester, New Britain, in the South Pacific theatre of the Second World War in 1943.",amazon,6.4
s3197,Movie,Atone,Wes Miller,"Jaqueline Fleming, Stephen Farrelly, Columbus Short, Robert Rusler, Scott Elrod",,,2019,13+,90 min,"Action, Adventure","When head of security candidate Laura Ryan shows up for work at the largest church in America, she is forced to take down a team of hijackers determined to drain the mega church of everything it has.",amazon,3.2
s3198,TV Show,Atom: the Beginning,,,,,2017,TV-14,1 Season,TV Shows,"Umataro Tenma and Hiroshi Ochanomizu are attempting to build a humanoid robot who not only looks like a human, but can feel like one. With no interested investors, they must pick up odd jobs to help fund their research.",amazon,6.6
s3199,Movie,Atlas Shrugged: Part III,James Manera,"Kristoffer Polaha, Laura Regan, Peter Mackenzie, Greg Germann, Joaquim de Almeida",,,2014,PG-13,99 min,"Drama, Science Fiction, Suspense","As crime and fear take over the countryside, the government continues to exert its brutal force against the nation's most productive who are mysteriously vanishing - leaving behind a wake of despair.",amazon,"4,4"
s3200,Movie,Atlas Shrugged: Part II,John Putch,"Samantha Mathis, Jason Beghe, Esai Morales, Patrick Fabian, Kim Rhodes, Richard T. Jones",,,2012,PG-13,112 min,"Drama, Suspense",Railroad owner Dagny Taggart and steel mogul Hank Rearden search desperately for the inventor of a revolutionary motor as the U.S. government continues to spread its control over the national economy.,amazon,"5,4"
s3201,TV Show,Atlantis,,"Jack Donnelly, Mark Addy, Robert Emms, Jemima Rooper",,,2015,13+,2 Seasons,"Action, Science Fiction","The time has come for Jason to fulfill his destiny - or Atlantis will be lost beneath the waves forever. A year has passed and much has changed. With the future looking bleak, Ariadne turns to her most trusted friends for support and so Jason, Hercules and Pythagoras are thrust to the very heart of politics and power in the city.",amazon,
s3202,TV Show,Atlantic: A Year in the Wild,,David Suchet,,,2018,ALL,1 Season,"Documentary, Special Interest","The Atlantic Ocean is vast, wild and unforgiving. Stretching from the Antarctic in the south to the Arctic in the north. Four films, each documenting a different season in and around the Atlantic, through the lives of the animals that live there. Every season brings new challenges. All must be resilient and adaptable if they're to survive a year in the wild Atlantic.",amazon,
s3203,TV Show,Atlanta Plastic,,"Sidney Starr, Mike Forbs",,,2016,TV-14,2 Seasons,"Documentary, Drama, Unscripted",Atlanta Plastic follows three of the country's top African- American plastic surgeons as they shatter stereotypes and provide a wide range of beauty procedures to clients of all ethnic backgrounds.,amazon,
s3204,Movie,Asobi Seksu,,,,,2011,NR,37 min,Music Videos and Concerts,"Shoegazing dream-pop from the bilingual hipster set, Asobi Seksu.",amazon,
s3205,Movie,Ashley,Dean Matthew Ronalds,"Nicole Arianna Fox, Michael Madsen, Holly Taylor",United States,,2013,13+,91 min,Drama,"A teenage girl, distraught from her vain attempt to connect with her estranged mother, resorts to cutting herself. When she develops an online relationship with an older woman, she learns to accept her sexuality and the endless solitude of sprawling suburbia.",amazon,5.5
s3206,Movie,Ashish Shakya - Life Is Good,Karan Asnani,Ashish Shakya,,,2019,18+,54 min,Comedy,"Ashish Shakya aka ‘That AIB Guy’ aka ‘Hai Dear, What A Sexy’ presents a comedy special that is at once sharp, goofy, chill, relatable and other ways of saying ‘You should watch!’. It won’t change your life, but you’ll laugh, get some sweet dopamine hits and then go to bed with your someone special. Someone special not provided by comedian. Audiences are requested to make their own arrangements.",amazon,
s3207,Movie,Asha Jaoar Majhe (Non-English Dialog),Aditya Vikram Sengupta,"Ritwick Chakraborty, Basabdutta Chatterjee",,,2015,NR,82 min,Drama,"Labour Of Love is a lyrical unfolding of two ordinary lives suspended in the duress of a spiraling recession. They are married to a cycle of work and domestic routine, and long stretches of waiting in the silence of an empty house.",amazon,
s3208,TV Show,Asawa Ko Karibal Ko,,"Kris Bernal, Rayver Cruz, Thea Tolentino",,,2019,7+,1 Season,"Kids, LGBTQ, Romance","Rachel meets Nathan, a gay man who later marries her due to family's pressure. Unhappy and trapped, Nathan plots his fake death and later undergoes to a sexual reassignment and face surgery in another country. Years later, Rachel meets Gavin and falls for him. Gavin has a wife, Venus whom Rachel will eventually find out to be her former husband.",amazon,
s3209,Movie,Aruvi,Arun Prabu Purushothaman,"Aditi Balan, Lakshmi Gopalaswamy, Shwetha Shekar, Mohammad Ali Baig",,,2017,13+,131 min,"Comedy, Drama, International",A gentle girl born and brought up amidst the ever growing eco-social-consumeristic environment finds it difficult to fit in the society. She decides to take it hard on the people. What she does is the rest of the story.,amazon,
s3210,TV Show,Arthur,,"Cameron Ansell, Jason Szwimer, Daniel Brochu, Bruce Dinsmore, Jodie Resther, Melissa Altro, Sonja Ball, Paul-Stuart Brown, Holly G. Frankel, Eleanor Noble, Arthur Holden, Ryan Tilson, Tyler Brody-Stein, Tamar Kozlov, Ellen David, Jessica Kardos, Sally Taylor-Isherwood, A.J. Henderson, Joanna Noyes, Mark Camacho, Hayley Reynolds, Robert Naylor",,,2006,TV-G,1 Season,"Animation, Kids","Welcome to ARTHUR and the adventures of the world's most famous aardvark, 8-year-old Arthur Read. Arthur and his Elwood City friends encounter the joys and difficulties that all kids experience, managing them with imagination, kindness, and a lot of humor! Based on the beloved best-selling books by Marc Brown.",amazon,
s3211,Movie,Arpo the Robot for All Kids - Supermarket Adventures & More Funny Kids Cartoons,,,,,2020,ALL,21 min,"Animation, Kids","Arpo was designed as a commando robot, built as a fierce fighting machine. But, with world peace achieved Arpo has been re-equipped for caregiving, re-coded for cuddling, and officially reassigned as a nanny robot! Arpo helps children age 4-8 build an understanding of non-verbal communication like body language and facial expressions. Enjoy Arpo's hilarious, slapstick funny cartoons for kids!",amazon,
